,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
441,Flood forecasting with machine learning models in an operational framework,"S Nevo, E Morin, A Gerzi Rosenthal…",2022," Hydrology and Earth …,",hess.copernicus.org,110,36.666666666666664
442,Predicting individual learning performance using machine‐learning hybridized with the teaching‐learning‐based optimization,"M Arashpour, EM Golafshani…",2023," Computer …,",Wiley Online Library,44,22.0
443,Hybrid model for detection of cervical cancer using causal analysis and machine learning techniques,"UK Lilhore, M Poongodi, A Kaur…",2022," … Methods in Medicine,",Wiley Online Library,157,52.333333333333336
444,Reimagining the machine learning life cycle to improve educational outcomes of students,"LT Liu, S Wang, T Britton…",2023," Proceedings of the …,",National Acad Sciences,23,11.5
445,Precision agriculture using IoT data analytics and machine learning,"R Akhter, SA Sofi",2022," Journal of King Saud University-Computer and …,",Elsevier,355,118.33333333333333
446,Applications of machine learning in perovskite materials,"Z Wang, M Yang, X Xie, C Yu, Q Jiang…",2022," … Composites and Hybrid …,",Springer,57,19.0
447,"Data Valuation in Machine Learning:"" Ingredients"", Strategies, and Open Challenges.","RHL Sim, X Xu, BKH Low",2022," IJCAI,",comp.nus.edu.sg,45,15.0
448,Internet of things and machine learning-integrated smart robotics,"BU Maheswari, SS Imambi, D Hasan…",2023," … on Robotics and …,",igi-global.com,50,25.0
449,DDoS detection using machine learning techniques,"R Amrish, K Bavapriyan, V Gopinaath…",2022," Journal of IoT in …,",irojournals.com,42,14.0
450,Applications of artificial intelligence and machine learning algorithms to crystallization,"C Xiouras, F Cameli, GL Quillo…",2022," Chemical …,",ACS Publications,59,19.666666666666668
451,Machine learning in crime prediction,"K Jenga, C Catal, G Kar",2023," Journal of Ambient Intelligence and Humanized …,",Springer,39,19.5
452,AI-powered ensemble machine learning to optimize cost strategies in logistics business,"C Yaiprasert, AN Hidayanto",2024," International Journal of Information …,",Elsevier,33,33.0
453,Causal machine learning for healthcare and precision medicine,"P Sanchez, JP Voisey, T Xia…",2022," Royal Society …,",royalsocietypublishing.org,88,29.333333333333332
454,The significance of machine learning in clinical disease diagnosis: A review,"SM Rahman, S Ibtisum, E Bazgir, T Barai",2023," arXiv preprint arXiv:2310.16978,",arxiv.org,31,15.5
455,Landslide susceptibility mapping using machine learning: A literature survey,"M Ado, K Amitab, AK Maji, E Jasińska, R Gono…",2022," Remote Sensing,",mdpi.com,91,30.333333333333332
456,Prediction of strength and analysis in self-compacting concrete using machine learning based regression techniques,"SA Rajakarunakaran, AR Lourdu, S Muthusamy…",2022," … in Engineering Software,",Elsevier,76,25.333333333333332
457,Skin cancer detection using ensemble of machine learning and deep learning techniques,"JV Tembhurne, N Hebbar, HY Patil, T Diwan",2023," Multimedia Tools and …,",Springer,57,28.5
458,IoT Security Based on Machine Learning,"RK Vanakamamidi, L Ramalingam…",2023," … For Smart Nation …,",ieeexplore.ieee.org,32,16.0
459,Integrating Machine Learning and AI for Improved Hydrological Modeling and Water Resource Management,"DMS Zekrifa, M Kulkarni, A Bhagyalakshmi…",2023," … Applications in Water …,",igi-global.com,57,28.5
460,Machine learning in clinical trials: A primer with applications to neurology,"MI Miller, LC Shih, VB Kolachalama",2023," Neurotherapeutics,",Elsevier,20,10.0
461,Exploiting symmetry in variational quantum machine learning,"JJ Meyer, M Mularski, E Gil-Fuster, AA Mele, F Arzani…",2023," PRX Quantum,",APS,149,74.5
462,Brain tumor detection and classification using machine learning: a comprehensive survey,"J Amin, M Sharif, A Haldorai, M Yasmin…",2022," Complex & intelligent …,",Springer,253,84.33333333333333
463,A structured analysis to study the role of machine learning and deep learning in the healthcare sector with big data analytics,"J Kumari, E Kumar, D Kumar",2023," Archives of Computational Methods in …,",Springer,26,13.0
464,Using machine learning to predict antimicrobial resistance―a literature review,"A Sakagianni, C Koufopoulou, G Feretzakis, D Kalles…",2023," Antibiotics,",mdpi.com,42,21.0
465,Machine learning in the detection and management of atrial fibrillation,"FK Wegner, L Plagwitz, F Doldi, C Ellermann…",2022," Clinical Research in …,",Springer,39,13.0
466,Machine learning in scanning transmission electron microscopy,"SV Kalinin, C Ophus, PM Voyles, R Erni…",2022," Nature Reviews …,",nature.com,96,32.0
467,Predicting is not understanding: Recognizing and addressing underspecification in machine learning,"D Teney, M Peyrard, E Abbasnejad",2022," European Conference on Computer …,",Springer,24,8.0
468,… For Bias In Machine Learning And Opportunities For Health Insurers To Address It: Article examines the potential for bias in machine learning and opportunities for …,"SS Gervasi, IY Chen, A Smith-McLallen, D Sontag…",2022," Health …,",healthaffairs.org,54,18.0
469,Medical machine learning based on multiobjective evolutionary algorithm using learning decomposition,"M Wang, X Li, L Chen, H Chen",2023," Expert Systems with Applications,",Elsevier,25,12.5
470,Super-resolution analysis via machine learning: a survey for fluid flows,"K Fukami, K Fukagata, K Taira",2023," Theoretical and Computational Fluid …,",Springer,71,35.5
471,Application of machine learning algorithms to predict the thyroid disease risk: an experimental comparative study,"SS Islam, MS Haque, MSU Miah, TB Sarwar…",2022," PeerJ Computer …,",peerj.com,55,18.333333333333332
472,Machine learning methods for cancer classification using gene expression data: A review,"F Alharbi, A Vakanski",2023," Bioengineering,",mdpi.com,74,37.0
473,Accurate global machine learning force fields for molecules with hundreds of atoms,"S Chmiela, V Vassilev-Galindo, OT Unke…",2023," Science …,",science.org,95,47.5
474,Machine learning with multimodal data for COVID-19,"W Chen, RC Sá, Y Bai, S Napel, O Gevaert…",2023," Heliyon,",cell.com,11,5.5
475,Quantum machine learning for image classification,"A Senokosov, A Sedykh, A Sagingalieva…",2024," Machine Learning …,",iopscience.iop.org,42,42.0
476,"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge","W Zhang, X Gu, L Tang, Y Yin, D Liu, Y Zhang",2022," Gondwana Research,",Elsevier,198,66.0
477,"AI and machine learning ethics, law, diversity, and global impact","K Drabiak, S Kyzer, V Nemov…",2023," The British journal of …,",academic.oup.com,19,9.5
478,Machine learning techniques in emerging cloud computing integrated paradigms: A survey and taxonomy,"D Soni, N Kumar",2022," Journal of Network and Computer Applications,",Elsevier,72,24.0
479,Shear strength prediction of reinforced concrete beams using machine learning,"MS Sandeep, K Tiprak, S Kaewunruen, P Pheinsusom…",2023," Structures,",Elsevier,44,22.0
480,Detecting and analyzing suicidal ideation on social media using deep learning and machine learning models,"THH Aldhyani, SN Alsubari, AS Alshebami…",2022," International journal of …,",mdpi.com,67,22.333333333333332
481,Persistent-homology-based machine learning: a survey and a comparative study,"CS Pun, SX Lee, K Xia",2022," Artificial Intelligence Review,",Springer,71,23.666666666666668
482,A comparative study of classification and prediction of Cardio-Vascular Diseases (CVD) using Machine Learning and Deep Learning techniques,"M Swathy, K Saruladha",2022," ICT express,",Elsevier,134,44.666666666666664
483,Groundwater level modeling with machine learning: a systematic review and meta-analysis,"A Ahmadi, M Olyaei, Z Heydari, M Emami…",2022," Water,",mdpi.com,67,22.333333333333332
484,Leakage and the reproducibility crisis in machine-learning-based science,"S Kapoor, A Narayanan",2023," Patterns,",cell.com,160,80.0
485,Renewable energy management in smart grids by using big data analytics and machine learning,"N Mostafa, HSM Ramadan, O Elfarouk",2022," Machine Learning with …,",Elsevier,128,42.666666666666664
486,Machine Learning in Information Systems Research.,"B Padmanabhan, X Fang, N Sahoo…",2022," MIS …,",search.ebscohost.com,61,20.333333333333332
487,A look inside the black box of machine learning photodynamics simulations,"J Li, SA Lopez",2022," Accounts of Chemical Research,",ACS Publications,26,8.666666666666666
488,Applications of data mining and machine learning framework in aquaculture and fisheries: A review,"J Gladju, BS Kamalam, A Kanagaraj",2022," Smart Agricultural Technology,",Elsevier,109,36.333333333333336
489,Introducing stacking machine learning approaches for the prediction of rock deformation,"M Koopialipoor, PG Asteris, AS Mohammed…",2022," Transportation …,",Elsevier,90,30.0
490,Curriculum graph machine learning: A survey,"H Li, X Wang, W Zhu",2023," arXiv preprint arXiv:2302.02926,",arxiv.org,16,8.0
491,Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost,Z Li,2022," Computers, Environment and Urban Systems,",Elsevier,240,80.0
492,Machine learning accelerates the materials discovery,"J Fang, M Xie, X He, J Zhang, J Hu, Y Chen…",2022," Materials Today …,",Elsevier,54,18.0
493,Prediction of agriculture yields using machine learning algorithms,"VK Gunjan, S Kumar, MD Ansari…",2022," … in Machine Learning, IoT …,",Springer,39,13.0
494,"3D printing of biodegradable polymers and their composites–Current state-of-the-art, properties, applications, and machine learning for potential future …","SAV Dananjaya, VS Chevali, JP Dear, P Potluri…",2024," Progress in Materials …,",Elsevier,5,5.0
495,Zeno: An interactive framework for behavioral evaluation of machine learning,"ÁA Cabrera, E Fu, D Bertucci, K Holstein…",2023," Proceedings of the …,",dl.acm.org,41,20.5
496,Malware threat affecting financial organization analysis using machine learning approach,"R Rawat, SK Sarangi, YN Rimal, P William…",2022," International Journal of …,",igi-global.com,110,36.666666666666664
497,Twelve key challenges in medical machine learning and solutions,"RJ Ellis, RM Sander, A Limon",2022," Intelligence-Based Medicine,",Elsevier,28,9.333333333333334
498,"Machine learning and AI in cancer prognosis, prediction, and treatment selection: a critical approach","B Zhang, H Shi, H Wang",2023," Journal of multidisciplinary healthcare,",Taylor & Francis,79,39.5
499,Machine learning: an advanced platform for materials development and state prediction in lithium‐ion batteries,"C Lv, X Zhou, L Zhong, C Yan, M Srinivasan…",2022," Advanced …,",Wiley Online Library,226,75.33333333333333
500,The rise of machine learning in polymer discovery,"C Yan, G Li",2023," Advanced Intelligent Systems,",Wiley Online Library,29,14.5
501,"Factor models, machine learning, and asset pricing","S Giglio, B Kelly, D Xiu",2022," Annual Review of Financial Economics,",annualreviews.org,109,36.333333333333336
502,Prediction of diabetes empowered with fused machine learning,"U Ahmed, GF Issa, MA Khan, S Aftab, MF Khan…",2022," IEEE …,",ieeexplore.ieee.org,163,54.333333333333336
503,"Machine learning in precision agriculture: a survey on trends, applications and evaluations over two decades","S Condran, M Bewong, MZ Islam, L Maphosa…",2022," IEEE …,",ieeexplore.ieee.org,58,19.333333333333332
504,Diabetes detection based on machine learning and deep learning approaches,"BF Wee, S Sivakumar, KH Lim, WK Wong…",2024," Multimedia Tools and …,",Springer,27,27.0
505,Photonic machine learning with on-chip diffractive optics,"T Fu, Y Zang, Y Huang, Z Du, H Huang, C Hu…",2023," Nature …,",nature.com,106,53.0
506,Novel machine learning based approach for analysing the adoption of metaverse in medical training: A UAE case study,"SA Salloum, A Bettayeb, A Salloum, A Aburayya…",2023," Informatics in Medicine …,",Elsevier,63,31.5
507,Detection of network attacks using machine learning and deep learning models,"KA Dhanya, S Vajipayajula, K Srinivasan…",2023," Procedia Computer …,",Elsevier,40,20.0
508,Protein–ligand docking in the machine-learning era,"C Yang, EA Chen, Y Zhang",2022," Molecules,",mdpi.com,84,28.0
509,"Andrew ng, ai minimalist: The machine-learning pioneer says small is the new big",E Strickland,2022," IEEE spectrum,",ieeexplore.ieee.org,101,33.666666666666664
